ASV,seed23_run2,seed105_run3,seed12_run4
ASV0838,12,5,4
ASV0839,10,3,6
ASV0840,10,3,6
ASV0841,7,3,6
ASV0842,10,3,6
ASV0843,10,3,6
ASV0844,10,3,6
ASV0845,15,3,6
ASV0847,7,5,4
ASV0848,10,3,6
ASV0849,4,8,3
ASV0851,4,8,3
ASV0852,10,3,6
ASV0853,10,3,6
ASV0854,7,5,4
ASV0855,10,3,6
ASV0856,13,6,7
ASV0857,10,5,4
ASV0858,10,3,6
ASV0859,10,3,6
ASV0860,10,3,6
ASV0861,10,3,6
ASV0862,12,5,4
ASV0863,2,5,4
ASV0865,10,3,6
ASV0867,10,3,6
ASV0868,12,5,4
ASV0869,10,3,6
ASV0872,10,3,6
ASV0873,13,6,7
ASV0874,12,5,4
ASV0877,12,5,4
ASV0878,10,3,6
ASV0881,16,5,2
ASV0882,10,3,6
ASV0883,14,3,3
ASV0884,10,3,6
ASV0885,13,6,7
ASV0886,2,5,4
ASV0888,15,3,6
ASV0889,13,6,7
ASV0890,10,3,6
ASV0891,7,3,6
ASV0893,10,3,6
ASV0894,13,6,7
ASV0896,13,6,7
ASV0897,7,3,6
ASV0898,10,3,6
ASV0899,10,3,6
ASV0901,10,3,6
ASV0902,10,3,6
ASV0904,10,3,6
ASV0905,10,3,6
ASV0906,14,3,6
ASV0909,2,5,4
ASV0910,10,3,6
ASV0911,10,3,6
ASV0912,10,3,6
ASV0913,15,3,6
ASV0914,16,3,2
ASV0915,13,6,7
ASV0916,10,3,6
ASV0917,10,3,6
ASV0918,12,5,4
ASV0919,7,3,6
ASV0920,10,3,6
ASV0921,7,3,6
ASV0922,10,3,6
ASV0924,2,5,4
ASV0925,2,5,4
ASV0927,10,3,6
ASV0928,10,3,6
ASV0929,12,5,4
ASV0931,13,6,7
ASV0932,12,5,4
ASV0935,10,3,6
ASV0936,10,3,6
ASV0937,15,3,6
ASV0938,10,3,6
ASV0941,10,3,6
ASV0942,10,3,6
ASV0944,7,3,6
ASV0945,2,5,4
ASV0946,10,3,6
ASV0947,10,3,6
ASV0949,7,3,6
ASV0951,15,3,6
ASV0952,2,5,4
ASV0953,10,3,6
ASV0954,10,3,6
ASV0955,2,5,4
ASV0957,10,3,6
ASV0958,10,3,6
ASV0961,10,3,6
ASV0962,2,5,4
ASV0963,10,3,6
ASV0964,12,5,4
ASV0965,15,3,6
ASV0966,13,6,7
ASV0968,2,3,6
ASV0969,10,3,6
ASV0970,10,3,6
ASV0971,15,3,6
ASV0972,2,5,4
ASV0973,4,8,3
ASV0974,10,3,6
ASV0975,10,3,6
ASV0976,10,3,6
ASV0977,10,3,6
ASV0978,10,3,6
ASV0979,10,3,6
ASV0980,13,6,7
ASV0981,10,3,6
ASV0982,7,3,6
ASV0983,12,5,4
ASV0985,12,5,4
ASV0986,10,3,6
ASV0987,10,3,6
ASV0990,7,3,6
ASV0993,12,5,4
ASV0994,10,3,6
ASV0995,10,3,6
ASV0997,7,3,6
ASV0998,7,3,6
ASV0999,10,3,6
ASV1000,7,3,6
ASV10000,10,3,6
ASV10001,10,3,6
ASV10006,10,3,6
ASV1001,10,3,6
ASV10011,10,3,6
ASV10018,10,3,6
ASV10021,10,3,6
ASV1003,10,3,6
ASV1004,13,6,7
ASV10040,10,3,6
ASV10041,10,3,6
ASV10059,10,3,6
ASV1007,10,3,6
ASV10070,10,3,6
ASV10071,10,3,6
ASV1008,7,5,6
ASV10080,10,3,6
ASV10083,10,3,6
ASV10089,10,3,6
ASV10092,10,3,6
ASV10101,10,3,6
ASV10102,10,3,6
ASV10103,10,3,6
ASV1011,2,5,4
ASV10112,10,3,6
ASV10113,10,3,6
ASV10116,10,3,6
ASV10119,10,3,6
ASV1012,2,5,4
ASV10120,10,3,6
ASV10121,10,3,6
ASV10122,10,3,6
ASV1013,10,3,6
ASV10134,10,3,6
ASV10136,10,3,6
ASV1014,10,3,6
ASV10145,10,3,6
ASV10152,10,3,6
ASV1016,2,5,4
ASV1017,10,3,6
ASV10172,10,3,6
ASV10173,10,3,6
ASV10174,10,3,6
ASV10175,10,3,6
ASV1018,7,3,6
ASV10185,10,3,6
ASV10187,10,3,6
ASV1019,12,5,4
ASV10199,10,3,6
ASV1020,12,5,4
ASV10201,10,3,6
ASV10207,10,3,6
ASV10208,10,3,6
ASV1021,15,3,6
ASV10212,10,3,6
ASV10213,10,3,6
ASV10218,10,3,6
ASV1022,7,3,6
ASV10220,10,3,6
ASV10225,10,3,6
