ASV,seed23_run2,seed105_run3,seed12_run4
ASV0861,3,6,1
ASV0862,9,8,10
ASV0863,1,9,12
ASV0865,12,12,11
ASV0867,3,6,1
ASV0868,8,11,9
ASV0869,7,1,8
ASV0872,3,6,1
ASV0873,3,6,1
ASV0874,8,11,9
ASV0877,5,4,6
ASV0878,1,9,12
ASV0881,3,6,1
ASV0882,3,6,1
ASV0883,3,6,1
ASV0884,3,6,1
ASV0885,3,6,1
ASV0886,3,9,12
ASV0888,3,6,13
ASV0889,3,6,1
ASV0890,1,9,12
ASV0891,3,6,1
ASV0893,3,6,1
ASV0894,3,6,1
ASV0896,9,8,10
ASV0897,3,6,1
ASV0898,9,8,10
ASV0899,5,4,6
ASV0901,1,9,12
ASV0902,5,4,6
ASV0904,1,9,12
ASV0905,3,6,1
ASV0906,3,9,12
ASV0909,9,8,10
ASV0910,9,8,10
ASV0911,9,8,10
ASV0912,3,6,1
ASV0913,3,6,1
ASV0914,3,6,1
ASV0915,3,6,1
ASV0916,3,6,1
ASV0917,3,6,1
ASV0918,8,11,9
ASV0919,12,12,11
ASV0920,3,6,1
ASV0921,1,9,12
ASV0922,12,12,11
ASV0924,2,5,2
ASV0925,3,6,1
ASV0927,5,4,6
ASV0928,3,6,1
ASV0929,9,8,10
ASV0931,3,6,1
ASV0932,8,11,9
ASV0935,5,4,6
ASV0936,9,8,10
ASV0937,3,6,1
ASV0938,3,6,1
ASV0941,12,12,11
ASV0942,3,6,1
ASV0944,1,9,12
ASV0945,3,6,1
ASV0946,5,4,6
ASV0947,3,6,1
ASV0949,3,6,1
ASV0951,3,6,13
ASV0952,3,6,1
ASV0953,5,4,6
ASV0954,12,12,11
ASV0955,3,6,1
ASV0957,9,8,10
ASV0958,1,9,12
ASV0961,12,6,11
ASV0962,3,6,1
ASV0963,9,8,10
ASV0964,9,8,10
ASV0965,3,6,13
ASV0966,9,8,10
ASV0968,3,6,1
ASV0969,1,9,12
ASV0970,12,12,11
ASV0971,3,6,1
ASV0972,9,6,1
ASV0973,12,12,11
ASV0974,12,12,11
ASV0975,7,1,8
ASV0976,3,6,1
